1	2	84	0
2	2	271	0
3	271	272	0
4	272	273	0
5	273	276	1
6	276	275	0
7	275	274	0
8	274	3	0
294	83	82	0
295	82	81	0
296	81	80	0
297	80	79	1
298	79	75	0
299	75	76	0
300	75	74	0
301	74	73	1
302	73	1	0
303	1	322	0
304	322	323	0
305     323     324     0
306     324     321     1
307     321     320     0
308     320     319     0
309     319     3      0
1056	76	77	0
1057	77	78	0
1058	78	89	1
1059	89	88	0
1060	88	87	0
1061	87	86	0
1062	86	90	0
1063	86	85	0
1064	85	84	1
1065	90	91	1
1066	91	92	0
1067	92	93	0
1068	93	94	0
1069	94	83	1
