1	2	84	0
2	2	271	0
3	271	272	0
4	272	273	0
5	273	276	1
6	276	275	0
7	275	274	0
8	274	3	0
9	3	95	0
10	95	96	1
11	96	97	0
12	97	98	0
13	97	101	0
14	101	102	1
15	102	103	0
16	103	104	0
17	104	105	0
18	105	363	1
19	363	362	0
20	362	361	0
21	361	360	0
22	360	359	1
23	359	355	0
24	355	354	0
25	355	356	0
26	356	357	0
27	357	358	0
28	358	369	1
29	369	368	0
30	368	367	0
31	367	366	0
32	366	365	0
33	366	370	0
34	370	371	1
35	371	372	0
36	372	373	0
37	373	374	0
38	374	116	1
39	116	115	0
40	115	114	0
41	114	113	0
42	113	112	1
43	112	108	0
44	108	109	0
45	108	107	0
46	107	106	1
47	106	4	0
48	4	277	0
49	277	278	0
50	278	279	0
51	279	282	1
52	282	281	0
53	281	280	0
54	280	5	0
55	5	117	0
56	117	118	1
57	118	119	0
58	119	123	0
59	119	120	0
60	120	121	0
61	121	122	0
62	122	133	1
63	133	132	0
64	132	131	0
65	131	130	0
66	130	129	0
67	130	134	0
68	134	135	1
69	135	136	0
70	136	137	0
71	137	138	0
72	138	402	1
73	402	401	0
74	401	400	0
75	400	399	0
76	399	398	1
77	398	394	0
78	394	393	0
79	394	395	0
80	395	396	0
81	396	397	0
82	397	386	1
83	386	385	0
84	385	384	0
85	384	383	0
86	383	382	0
87	383	387	0
88	387	388	1
89	388	389	0
90	389	390	0
91	390	391	0
92	391	127	1
93	127	126	0
94	126	125	0
95	125	124	0
96	124	123	1
97	382	381	1
98	381	23	0
99	23	380	0
100	380	379	0
101	379	378	0
102	378	377	1
103	377	376	0
104	376	375	0
105	375	22	0
106	22	364	0
107	364	365	1
108	393	392	1
109	392	24	0
110	24	403	0
111	403	404	0
112	404	405	0
113	405	408	1
114	408	407	0
115	407	406	0
116	406	25	0
117	25	409	0
118	409	410	1
119	410	411	0
120	411	415	0
121	411	412	0
122	412	413	0
123	413	414	0
124	414	425	1
125	425	424	0
126	424	423	0
127	423	422	0
128	422	421	0
129	422	426	0
130	426	427	1
131	427	428	0
132	428	429	0
133	429	430	0
134	430	419	1
135	419	418	0
136	418	417	0
137	417	416	0
138	416	415	1
139	421	420	1
140	420	26	0
141	26	431	0
142	431	432	0
143	432	433	0
144	433	436	1
145	436	435	0
146	435	434	0
147	434	27	0
148	27	437	0
149	437	438	1
150	438	439	0
151	439	443	0
152	439	440	0
153	440	441	0
154	441	442	0
155	442	453	1
156	453	452	0
157	452	451	0
158	451	450	0
159	450	449	0
160	450	454	0
161	454	455	1
162	455	456	0
163	456	457	0
164	457	458	0
165	458	447	1
166	447	446	0
167	446	445	0
168	445	444	0
169	444	443	1
170	449	448	1
171	448	28	0
172	28	464	0
173	464	465	0
174	465	466	0
175	466	469	1
176	469	468	0
177	468	467	0
178	467	29	0
179	29	470	0
180	470	471	1
181	471	472	0
182	472	473	0
183	472	476	0
184	476	477	1
185	477	478	0
186	478	479	0
187	479	1080	0
188	1080	765	1
189	765	463	0
190	463	460	0
191	460	462	0
192	462	461	1
193	461	482	0
194	482	483	0
195	482	481	0
196	481	480	1
197	480	30	0
198	30	485	0
199	485	486	0
200	486	487	0
201	487	490	1
202	490	489	0
203	489	488	0
204	488	31	0
205	31	491	0
206	491	492	1
207	492	493	0
208	493	497	0
209	493	494	0
210	494	495	0
211	495	496	0
212	496	507	1
213	507	506	0
214	506	505	0
215	505	504	0
216	504	508	0
217	504	503	0
218	503	502	1
219	502	32	0
220	32	513	0
221	513	514	0
222	514	515	0
223	515	518	1
224	518	517	0
225	517	516	0
226	516	33	0
227	33	519	0
228	519	520	1
229	520	521	0
230	521	522	0
231	521	525	0
232	525	526	1
233	526	527	0
234	527	528	0
235	528	529	0
236	529	540	1
237	540	539	0
238	539	538	0
239	538	537	0
240	537	536	1
241	536	532	0
242	532	533	0
243	532	531	0
244	531	530	1
245	530	34	0
246	34	541	0
247	541	542	0
248	542	543	0
249	543	546	1
250	546	545	0
251	545	544	0
252	544	35	0
253	35	547	0
254	547	548	1
255	548	549	0
256	549	553	0
257	549	550	0
258	550	551	0
259	551	552	0
260	552	563	1
261	563	562	0
262	562	561	0
263	561	560	0
264	560	559	0
265	560	564	0
266	564	565	1
267	565	566	0
268	566	567	0
269	567	568	0
270	568	557	1
271	557	556	0
272	556	555	0
273	555	554	0
274	554	553	1
275	559	558	1
276	558	36	0
277	36	569	0
278	569	570	0
279	570	571	0
280	571	574	1
281	574	573	0
282	573	572	0
283	572	19	0
284	19	325	0
285	325	326	1
286	326	327	0
287	327	328	0
288	327	331	0
289	331	332	1
290	332	333	0
291	333	334	0
292	334	335	0
293	335	83	1
294	83	82	0
295	82	81	0
296	81	80	0
297	80	79	1
298	79	75	0
299	75	76	0
300	75	74	0
301	74	73	1
302	73	1	0
